pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
1,lightning senators lightning,sports_fees_v2,1.0,1559302,nhl-tb-ott-2026-04-07,https://polymarket.com/event/nhl-tb-ott-2026-04-07,KXNHLGAME-26APR07TBOTT-TB,https://kalshi.com/markets/KXNHLGAME-26APR07TBOTT-TB,https://polymarket.com/event/nhl-tb-ott-2026-04-07,"[""Lightning"", ""Senators""]","[""111151518511319776541690015623626804508565205760654425247241482609810639205265"", ""17892084660450335619692968555343054913839177043652475005934677676921205726972""]",Lightning,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
2,flyers devils devils,sports_fees_v2,1.0,1559307,nhl-phi-nj-2026-04-07,https://polymarket.com/event/nhl-phi-nj-2026-04-07,KXNHLGAME-26APR07PHINJ-NJ,https://kalshi.com/markets/KXNHLGAME-26APR07PHINJ-NJ,https://polymarket.com/event/nhl-phi-nj-2026-04-07,"[""Devils"", ""Flyers""]","[""67317793186736646892887356811963102784832953278305911362730704332646144254259"", ""53556274957776888169320251699995891324608880849121646196535037889439416310008""]",Devils,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
3,panthers canadiens canadiens,sports_fees_v2,1.0,1559312,nhl-fla-mon-2026-04-07,https://polymarket.com/event/nhl-fla-mon-2026-04-07,KXNHLGAME-26APR07FLAMTL-MTL,https://kalshi.com/markets/KXNHLGAME-26APR07FLAMTL-MTL,https://polymarket.com/event/nhl-fla-mon-2026-04-07,"[""Canadiens"", ""Panthers""]","[""20053341509244210449214676077375401443071593239984667896595965278826081191540"", ""56184262093389636438560272061591113733380765549736118665447561271411814052628""]",Canadiens,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
4,bruins hurricanes bruins,sports_fees_v2,1.0,1559317,nhl-bos-car-2026-04-07,https://polymarket.com/event/nhl-bos-car-2026-04-07,KXNHLGAME-26APR07BOSCAR-BOS,https://kalshi.com/markets/KXNHLGAME-26APR07BOSCAR-BOS,https://polymarket.com/event/nhl-bos-car-2026-04-07,"[""Bruins"", ""Hurricanes""]","[""61494474840606251551778244205501095663604483487941709959650262320638961087015"", ""59330487411412278270169180918108749437459815518333047753836355324199769950750""]",Bruins,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
5,blue jackets red wings blue jackets,sports_fees_v2,1.0,1559322,nhl-cbj-det-2026-04-07,https://polymarket.com/event/nhl-cbj-det-2026-04-07,KXNHLGAME-26APR07CBJDET-CBJ,https://kalshi.com/markets/KXNHLGAME-26APR07CBJDET-CBJ,https://polymarket.com/event/nhl-cbj-det-2026-04-07,"[""Blue Jackets"", ""Red Wings""]","[""14622339507462060373969045535808206681457133131280515126971384945596288463568"", ""21050348122795806411607345332009631554920586839470712296370264101038732928706""]",Blue Jackets,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
6,real madrid fc bayern munchen teams score,sports_fees_v2,1.0,1718890,ucl-rma1-bay1-2026-04-07-btts,https://polymarket.com/event/ucl-rma1-bay1-2026-04-07-btts,KXUCLBTTS-26APR07RMABMU,https://kalshi.com/markets/KXUCLBTTS-26APR07RMABMU,https://polymarket.com/event/ucl-rma1-bay1-2026-04-07-btts,"[""Yes"", ""No""]","[""41093211488385950327734595316920778657986871146776460330990490741744580801933"", ""104408850606082371499614190976675702397006008372583489923393377053034929364978""]",Yes,2026-04-07,2026-04-21T19:00:00Z,2026-04-07
7,sporting cp arsenal fc teams score,sports_fees_v2,1.0,1718899,ucl-spo1-ars-2026-04-07-btts,https://polymarket.com/event/ucl-spo1-ars-2026-04-07-btts,KXUCLBTTS-26APR07SPOARS,https://kalshi.com/markets/KXUCLBTTS-26APR07SPOARS,https://polymarket.com/event/ucl-spo1-ars-2026-04-07-btts,"[""Yes"", ""No""]","[""44149737625574959248547430781387915190339069023387334312881498446696555632881"", ""45948896637962620830514131276326949115451385424652486323941267582438176584478""]",Yes,2026-04-07,2026-04-21T19:00:00Z,2026-04-07
8,bucks nets bucks,sports_fees_v2,1.0,1815992,nba-mil-bkn-2026-04-07,https://polymarket.com/event/nba-mil-bkn-2026-04-07,KXNBAGAME-26APR07MILBKN-MIL,https://kalshi.com/markets/KXNBAGAME-26APR07MILBKN-MIL,https://polymarket.com/event/nba-mil-bkn-2026-04-07,"[""Bucks"", ""Nets""]","[""93072992077554393278405727794696069000725842181173500464232671377232327287819"", ""24075484028023309464832318293775939879498249291614665099119379908857537744994""]",Bucks,2026-04-07,2026-04-21T23:30:00Z,2026-04-07
9,heat raptors heat,sports_fees_v2,1.0,1816002,nba-mia-tor-2026-04-07,https://polymarket.com/event/nba-mia-tor-2026-04-07,KXNBAGAME-26APR07MIATOR-MIA,https://kalshi.com/markets/KXNBAGAME-26APR07MIATOR-MIA,https://polymarket.com/event/nba-mia-tor-2026-04-07,"[""Heat"", ""Raptors""]","[""70871994213720722155234983087455102941965774280031864144243496246158733227078"", ""110701987295409675357649111927198221764427852275061780680459232271073222223674""]",Heat,2026-04-07,2026-04-21T23:30:00Z,2026-04-07
10,blackhawks sharks blackhawks,sports_fees_v2,0.95,1552116,nhl-chi-sj-2026-04-06,https://polymarket.com/event/nhl-chi-sj-2026-04-06,KXNHLGAME-26APR06CHISJ-CHI,https://kalshi.com/markets/KXNHLGAME-26APR06CHISJ-CHI,https://polymarket.com/event/nhl-chi-sj-2026-04-06,"[""Blackhawks"", ""Sharks""]","[""59301343961249167216202968354985268896061018168734357757630175669729503411170"", ""26581675696723026232663978020539515247942743004871385465016014315987120420289""]",Blackhawks,2026-04-07,2026-04-21T02:00:00Z,2026-04-07
11,predators kings kings,sports_fees_v2,0.95,1552121,nhl-nsh-lak-2026-04-06,https://polymarket.com/event/nhl-nsh-lak-2026-04-06,KXNHLGAME-26APR06NSHLA-LA,https://kalshi.com/markets/KXNHLGAME-26APR06NSHLA-LA,https://polymarket.com/event/nhl-nsh-lak-2026-04-06,"[""Kings"", ""Predators""]","[""59144976244027578122418735558253725340841978644131038167604229419047114199001"", ""72366711975805571374660628153225204556559937284048893748248897309484385762835""]",Kings,2026-04-07,2026-04-21T02:30:00Z,2026-04-07
12,kraken wild kraken,sports_fees_v2,0.95,1559327,nhl-sea-min-2026-04-07,https://polymarket.com/event/nhl-sea-min-2026-04-07,KXNHLGAME-26APR07SEAMIN-SEA,https://kalshi.com/markets/KXNHLGAME-26APR07SEAMIN-SEA,https://polymarket.com/event/nhl-sea-min-2026-04-07,"[""Kraken"", ""Wild""]","[""15974059619651639136985675552304956698616459897077368689418854884573958609608"", ""1326989603149006759210565100905816028581377666796507435244425945063256065586""]",Kraken,2026-04-08,2026-04-22T00:00:00Z,2026-04-08
13,avalanche blues avalanche,sports_fees_v2,0.95,1559332,nhl-col-stl-2026-04-07,https://polymarket.com/event/nhl-col-stl-2026-04-07,KXNHLGAME-26APR07COLSTL-COL,https://kalshi.com/markets/KXNHLGAME-26APR07COLSTL-COL,https://polymarket.com/event/nhl-col-stl-2026-04-07,"[""Avalanche"", ""Blues""]","[""104344610037603884852893727631338128663850315145955461148422034837144995248341"", ""114386039940593349332396840663762610757899355411972423602742682079512222500080""]",Avalanche,2026-04-08,2026-04-22T00:00:00Z,2026-04-08
